Heavy metal,,,,Plastic,,,,
Trial 1,,Trial 2,,,,Trial 2,,note: all measurements in cm
x,z,x,z,x,z,x,z,note: maybe delete some of the data bc unclear overlap
4.63,1.60,-0.83,3.33,-2.40,-8.50,-4.15,-24.70,
3.75,-1.50,-0.72,3.00,-1.30,-11.20,0.50,-24.00,
4.35,-1.97,-1.33,3.20,-0.60,-4.00,5.57,-16.60,
-2.60,-1.75,-1.27,3.20,0.60,-9.63,4.00,-14.97,
-2.23,-1.53,-1.00,3.20,-1.40,-10.10,0.70,-14.80,
-2.07,-0.03,-0.80,2.90,-1.40,-10.40,4.05,-14.00,
-2.40,-1.12,-1.20,2.80,-1.10,-11.13,1.40,-13.25,
-2.40,0.60,-1.55,3.15,-2.10,-11.57,1.17,-12.82,
-2.13,0.60,-1.10,3.00,-2.00,-12.10,1.25,-12.97,
-2.35,1.00,-1.43,3.45,-1.47,-12.40,2.60,-13.00,
-2.40,1.10,-1.25,2.75,0.00,-12.30,2.83,-12.77,
-2.53,0.70,-1.15,2.60,-1.35,-12.95,1.30,-11.55,
-2.62,0.90,-1.15,3.10,-0.43,-13.35,1.03,-11.45,
-2.87,0.60,-1.40,3.30,-0.45,-13.55,-0.75,-11.10,
-2.67,0.50,-1.37,3.40,-0.17,-14.00,-1.00,-11.27,
-2.83,0.40,-1.20,3.75,0.60,-14.63,1.53,-10.55,
-2.63,1.00,-1.17,3.72,0.25,-15.50,2.37,-10.53,
-2.70,0.80,-1.15,2.95,0.37,-16.63,1.60,-10.70,
-2.62,1.23,-1.23,3.00,-1.40,-16.57,1.25,-10.25,
-2.67,0.70,-1.37,3.25,0.37,-12.27,0.27,-8.95,
