C (microF),t (s),A (microA),btwn 10k Ohm resistor,,voltage used,err,ln(A)
10,0,8.5,,,5,0.18,2.140066163
10,1,7.3,,,,0.18,1.987874348
10,2,6.5,,,,0.18,1.871802177
10,4,5.7,,,,0.18,1.740466175
10,6,5,,,,0.18,1.609437912
10,9,3.9,,,,0.18,1.360976553
10,11,3.1,,,,0.18,1.131402111
10,12,3,,,,0.18,1.098612289
10,15,2,,,,0.18,0.6931471806
10,19,1.5,,,,0.18,0.4054651081
10,22,1.3,,,,0.18,0.2623642645
10,26,1,,,,0.18,0
10,29,0.5,,,,0.18,-0.6931471806
10,35,0.3,,,,0.18,-1.203972804
10,43,0,,,,0.18,
20,0,25,,,,0.18,3.218875825
20,1,22,,,,0.18,3.091042453
20,2,20,,,,0.18,2.995732274
20,4,17,,,,0.18,2.833213344
20,6,14.7,,,,0.18,2.687847494
20,8,12.5,,,,0.18,2.525728644
20,11,9.5,,,,0.18,2.251291799
20,15,6.7,,,,0.18,1.902107526
20,18,5.3,,,,0.18,1.667706821
20,21,4,,,,0.18,1.386294361
20,25,3,± 1amp,,,0.18,1.098612289
20,27,2.3,,,,0.18,0.8329091229
20,32,1.7,,,,0.18,0.5306282511
20,38,1,,,,0.18,0
20,45,0.7,,,,0.18,-0.3566749439
20,51,0.3,,,,0.18,-1.203972804
20,58,0,,,,0.18,
30,0,36,,,,0.18,3.583518938
30,1,24,,,,0.18,3.17805383
30,3,22.7,,,,0.18,3.122364924
30,5,19.5,,,,0.18,2.970414466
30,8,16.5,,,,0.18,2.803360381
30,10,15,,,,0.18,2.708050201
30,12,13,,,,0.18,2.564949357
30,15,11,,,,0.18,2.397895273
30,19,9,,,,0.18,2.197224577
30,21,8,,,,0.18,2.079441542
30,24,6.7,,,,0.18,1.902107526
30,28,5.3,,,,0.18,1.667706821
30,32,4.3,,,,0.18,1.458615023
30,34,4,,,,0.18,1.386294361
30,38,3,,,,0.18,1.098612289
30,45,2,,,,0.18,0.6931471806
30,51,1.5,,,,0.18,0.4054651081
30,57,1,,,,0.18,0
30,65,0.7,,,,0.18,-0.3566749439
30,71,0.5,,,,0.18,-0.6931471806
30,77,0.3,,,,0.18,-1.203972804
30,91,0,,,,0.18,
