V,I1,I2,ierr,r,rerr,1/r,I,observations,,r = cm,I = A,V = V,,,0.8769121515,0.005
100,1.17,1.04,0.065,0.06,0.005,16.66666667,1.105,Error bar really large first trial because the voltage was low and the apparatus was behaving inconsistently,,,,,,,,
100,0.85,0.93,0.04,0.07,0.005,14.28571429,0.89,"freaking out, jittering a lot and fluctuating. more fluctuations w lower current/larger r",,,,,,,,
100,0.80,0.73,0.035,0.08,0.005,12.5,0.765,,,,,,,,,
100,0.70,0.60,0.05,0.09,0.005,11.11111111,0.65,turned off,,,,,,,,
100,,,0.0001,0.1,0.005,10,0.01,can't see it here,,,,,,,,
200,1.83,1.71,0.06,0.06,0.005,16.66666667,1.77,,,,,,,,,
200,1.58,1.49,0.045,0.07,0.005,14.28571429,1.535,,,,,,,,,
200,1.39,1.32,0.035,0.08,0.005,12.5,1.355,,,,,,,,,
200,1.24,1.19,0.025,0.09,0.005,11.11111111,1.215,,,,,,,,,
200,1.12,1.09,0.015,0.1,0.005,10,1.105,,,,,,,,,
300,2.33,2.18,0.075,0.06,0.005,16.66666667,2.255,,,,,,,,,
300,2.02,1.90,0.06,0.07,0.005,14.28571429,1.96,,,,,,,,,
300,1.79,1.69,0.05,0.08,0.005,12.5,1.74,,,,,,,,,
300,1.61,1.53,0.04,0.09,0.005,11.11111111,1.57,,,,,,,,,
300,1.45,1.39,0.03,0.1,0.005,10,1.42,,,,,,,,,
400,2.63,2.58,0.025,0.06,0.005,16.66666667,2.605,,,,,,,,,
400,2.32,2.26,0.03,0.07,0.005,14.28571429,2.29,,,,,,,,,
400,2.04,1.99,0.025,0.08,0.005,12.5,2.015,,,,,,,,,
400,1.82,1.80,0.01,0.09,0.005,11.11111111,1.81,,,,,,,,,
400,1.65,1.62,0.015,0.1,0.005,10,1.635,,,,,,,,,
500,2.96,2.92,0.02,0.06,0.005,16.66666667,2.94,,,,,,,,,
500,2.57,2.51,0.03,0.07,0.005,14.28571429,2.54,,,,,,,,,
500,2.25,2.21,0.02,0.08,0.005,12.5,2.23,,,,,,,,,
500,2.01,1.96,0.025,0.09,0.005,11.11111111,1.985,,,,,,,,,
500,1.81,1.77,0.02,0.1,0.005,10,1.79,,,,,,,,,
